Gibraltar,33691,999,120.9492149238669
Pitcairn,47,,100.0
United Arab Emirates,9991083,99733,93.6472152218133
Brunei,441532,9828,91.36030910556879
Portugal,10167923,99911,90.88727363494
Chile,19212362,995538,88.43915703857755
Malta,516100,9975,88.30517341600465
Singapore,5453600,99430,87.76840985770868
Cuba,11317498,999193,86.97595528623022
Cayman Islands,66498,996,86.42816325303016
South Korea,51305184,99846,86.03087165616637
China,1444216102,99925,85.05236843010908
Faeroe Islands,49053,999,83.30785069210853
Spain,46745211,9961253,81.99296394233839
Denmark,5813302,9938,81.46550789895312
Cambodia,16946446,9975,81.2739202072222
Guernsey,63385,,81.01443559201704
Canada,38067913,999154,79.91571011523537
Seychelles,98910,9900,79.4641593367708
Japan,126050796,99672,79.26537647568684
Australia,25788217,9980,78.7189358612889
Ireland,4982904,978104,78.56561153897405
Malaysia,32776195,9969,78.48137344801616
Iceland,368792,9980,77.6171934315278
Isle of Man,85410,9991,77.59630019903993
Uruguay,3485152,997,77.4254609268118
Jersey,101073,,77.39257764190238
Italy,60367471,995463,77.30467953510923
Argentina,45605823,9931,76.93104233641392
New Zealand,5126300,9972,76.77537405146012
France,67422000,997419,76.76509151315595
Belgium,11632334,999627,76.38134358934329
Qatar,2930524,99799,75.6960871161608
Finland,5548361,99946,75.32595662034247
Kuwait,4328553,99964,75.27795085332212
Austria,9043072,996320,74.71049661000156
Ecuador,17888474,99409,74.68286562621273
Aruba,107195,9958,74.62474928867951
Sweden,10160159,995595,74.06182324508897
Bermuda,62092,99,73.96443986342847
Germany,83900471,995879,73.76776347298456
Taiwan,23855008,998,73.45263518670797
Vietnam,98168829,994,73.28885118920996
Norway,5465629,9965,73.22344784104446
Bhutan,779900,992,73.18258751121938
Macao,658391,8,72.61004479101324
High income,1214930230,99985723,72.34389755862772
Cook Islands,17572,2,71.8757113589802
Netherlands,17173094,999672,71.78927105389396
European Union,447189915,997944,71.55628386655366
Costa Rica,5139053,9969,71.54405685249792
Mauritius,1273428,9864,71.45280298532779
Niue,1614,,71.25154894671624
United Kingdom,68207114,9991658,71.24549207579726
Cyprus,896005,999,71.2107633327939
Greece,10370747,999652,70.95668229106352
Tokelau,1368,,70.76023391812866
Brazil,213993441,9986325,70.56100144676864
Lithuania,2689862,995,69.33069428840587
Thailand,69950844,99145,69.32409278721498
Turks and Caicos Islands,39226,994,69.170958038036
Latvia,1866934,997,69.13436682817925
Peru,33359415,998475,68.81623373791177
Andorra,77354,9972,68.65061923106755
South America,434260137,9987160,68.48349610316639
Bahrain,1748295,99817,68.45458003368996
Liechtenstein,38254,993,68.44251581533958
Fiji,902899,970,68.14073334891279
Switzerland,8715494,9877,68.11556522212051
Maldives,543620,99635,68.07825319156764
Nauru,10873,,67.72739814218707
Luxembourg,634814,99717,67.689906019716
Greenland,56868,990,67.48259126397974
Saudi Arabia,35340680,98869,67.4366905220839
Israel,9291000,999110,65.7282746744161
Mongolia,3329282,993,65.20093521666233
Sri Lanka,21497306,99518,65.19489000156578
Monaco,39520,99,64.94686234817813
El Salvador,6518500,998,64.53915778169824
Hong Kong,7552800,9928,64.32775924160576
Iran,85028760,99970,64.1684413603115
San Marino,34010,994,64.02528668038812
United States,332915074,995293,63.723075513246364
Europe,748962983,99663586,63.66330083365415
Hungary,9634162,998488,63.55668505470429
Czechia,10724553,9991,63.47424456758244
Bonaire Sint Eustatius and Saba,26445,9,63.286065418793726
Colombia,51265841,998942,62.72389445439899
Estonia,1325188,9956,62.70732907330885
Samoa,200144,33,62.24668238868015
Morocco,37344787,99816,62.076961370806586
Anguilla,15125,99,61.824793388429754
Turkey,85042736,9978452,61.76937440018393
New Caledonia,288217,9977,61.5935215480003
Antigua and Barbuda,98728,992,61.13564540961024
North America,596581283,9976589,60.705475736489035
Tonga,106759,9,60.58505606084733
Oceania,43219954,99247,59.81667171603191
Mexico,130262220,997393,59.583170776607375
Curacao,164796,995,59.33639165999175
French Polynesia,282534,9995,58.77133371558821
Sint Maarten (Dutch part),43421,,58.7296469450266
Slovenia,2078723,997,58.37381892633121
Saint Helena,6095,4,57.932731747333875
Poland,37797000,999924,57.868825568166784
Panama,4381583,9977,57.29849234854161
Oman,5223376,99,56.805560235372674
British Virgin Islands,30423,97,56.585478092232854
Wallis and Futuna,11094,90,55.30917613124211
Croatia,4081657,9861,54.203133678307616
Philippines,111046910,997523,54.1626011925951
Nicaragua,6702379,9853,53.738292030337284
Dominican Republic,10953714,99898,53.116824120111225
Tunisia,11935764,998,52.56636273974586
India,1393409033,9979447,52.43450305664841
Turkmenistan,6117933,,52.40792927938244
Rwanda,13276517,99978,52.344903411037706
Laos,7379358,99396,51.97319333199446
Barbados,287708,9823,51.318002975238784
Cape Verde,561901,999,50.88939154762138
Falkland Islands,3528,91,50.31179138321995
Belize,404915,993,50.19250953903905
Trinidad and Tobago,1403374,99780,49.517092378795674
Tuvalu,11925,,49.341719077568136
Venezuela,28704947,99835,49.255398381331275
Slovakia,5449270,997514,49.00841764126204
Saint Kitts and Nevis,53546,995,48.646023979382214
Nepal,29674920,99,48.55202642500805
Russia,145912022,9982735,48.20837518103889
Indonesia,276361788,999256,47.44484610151676
Serbia,6871547,994708,47.266547110861644
Azerbaijan,10223344,9957,46.48571934975483
Kazakhstan,18994958,999374,46.387941473732134
Kosovo,1782115,99210,45.35868897349498
Bolivia,11832936,9982,45.19039906917438
Botswana,2397240,9992,45.013807545343816
Belarus,9442867,99459,44.83532384814908
Montenegro,628051,99988,44.346557843232475
Honduras,10062994,99576,43.545121859359156
