Paraguay,7219641,99789,43.18249342314943
Timor,1343875,9997,42.01157101664961
Romania,19127772,998555,41.830423323741
Jordan,10269022,998492,41.37461191533137
Albania,2872934,998,40.6192067064541
Dominica,72172,9722,40.396552679709586
Guyana,790329,9898,39.851757938782455
North Macedonia,2082661,99917,39.77401987169299
Suriname,591798,9996,39.41125181227378
Uzbekistan,33935765,99844,38.70059802688992
Pakistan,225199929,998609,38.655819913691005
Tajikistan,9749625,9974,38.56044719668705
Bahamas,396914,9976,38.17451639397955
Kiribati,121388,913,37.90737140409266
Bangladesh,166303494,989219,35.90516143936218
Myanmar,54806014,9991,34.38867311167713
Ukraine,43466822,998678,34.11825920928841
Lesotho,2159067,9965,33.69640682757876
Comoros,888456,995,33.41290958696885
Grenada,113015,9718,32.542582842985446
Montserrat,4981,90,31.981529813290503
Georgia,3979773,999343,30.867866081809186
Lebanon,6769151,98829,30.34587350762304
Guatemala,18249868,99765,29.418349765598307
Palestine,5222756,99758,29.298209604277897
Bulgaria,6896655,995436,29.209044094564685
Eswatini,1172369,9943,28.561911821278112
Armenia,2968128,99563,28.222974211354767
Mozambique,32163045,99412,28.053624897766987
South Africa,60041996,994911,27.91878870915617
Saint Lucia,184401,9971,27.83770153090276
Sao Tome and Principe,223364,999,27.491001235651225
Egypt,104258327,99863,26.055652130308975
Bosnia and Herzegovina,3263459,99543,25.92586577615959
Moldova,4024025,99633,25.261423574654728
Saint Vincent and the Grenadines,111269,98,25.13907737105573
Vanuatu,314464,7,23.471685153149487
Zimbabwe,15092171,99944,22.04525776974035
Jamaica,2973462,9959,21.14750415508925
Mauritania,4775110,9876,20.990720632613698
Liberia,5180208,998,19.052806373798116
Kyrgyzstan,6628347,99845,16.648917143293794
Iraq,41179351,99865,15.458602055190235
Libya,6958538,99935,14.491679142946406
Guinea-Bissau,2015490,990,14.476926206530422
Angola,33933611,9871,14.381124956020743
Benin,12451031,96,14.197579300862714
Equatorial Guinea,1449891,9939,14.082506891897392
Guinea,13497237,9979,13.894125145761313
Namibia,2587344,99808,13.788773352132536
Algeria,44616626,99897,12.991641277401836
Togo,8478242,9992,12.684032845488488
Gambia,2486937,9998,12.251536729720133
Central African Republic,4919987,962,12.090418125088542
Kenya,54985702,99983,11.551470234934893
Solomon Islands,703995,898,11.3638591183176
Africa,1373486472,9980,11.031557579112436
Congo,5657017,9681,10.316550224261302
Gabon,2278829,9899,10.275847814820683
Ghana,31732128,99160,9.889680263485639
Afghanistan,39835428,996,9.8212475588313
Zambia,18920657,9981,9.055319802055498
Djibouti,1002197,999,9.025969944032958
Cote d'Ivoire,27053629,9992,8.806478421065062
Sierra Leone,8141343,969,8.506115023037355
Senegal,17196308,9961,5.836043411178725
Low income,665149040,999628,5.6943849757341605
Somalia,16359500,997,5.300510406797273
Syria,18275704,999,5.101975825390912
Uganda,47123533,9945,4.709354029121713
Niger,25130810,980,4.082439045936044
Malawi,19647681,9991,3.9691452645225658
Burkina Faso,21497097,9967,3.5906941295375834
Madagascar,28427333,975,3.25933846836775
Sudan,44909351,9997,3.1989685177147185
Mali,20855724,9998,3.0238029617192863
Tanzania,61498438,94,2.7917684673552197
Nigeria,211400704,99063,2.5765519683416
Papua New Guinea,9119005,9952,2.5738553712822836
Cameroon,27224262,996,2.4364921260308177
South Sudan,11381377,9969,2.435258932201262
Ethiopia,117876226,99982,1.3599748264760358
Yemen,30490639,9995,1.1301239045859288
Haiti,11541683,9999,0.8127844093448069
Chad,16914985,998,0.8048662177353394
Democratic Republic of Congo,92377986,9994,0.2284472839665502
Burundi,12255429,986,0.061450317243076515
World,7874965730,9965142,
International,,721,
Upper middle income,2513672790,9983842,
Micronesia (country),116255,1,
Northern Cyprus,,,
Palau,18174,898,
Asia,4678444992,99896,
Marshall Islands,59618,7,
Vatican,812,9,
Saint Pierre and Miquelon,5771,985,
Lower middle income,3330652550,996835,
Eritrea,3601462,992,
