CAN,North America,Canada,3/10/2020,92,4,1,0,,,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/11/2020,127,35,1,0,,4846,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/12/2020,141,14,1,0,1893,6739,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/13/2020,213,72,1,0,3150,9889,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/14/2020,236,23,1,0,3320,13209,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/15/2020,296,60,1,0,4148,17357,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/16/2020,450,154,4,3,4519,21876,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/17/2020,532,82,6,2,5031,26907,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/18/2020,732,200,11,5,7286,34193,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/19/2020,921,189,11,0,8608,42801,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/20/2020,1175,254,15,4,7267,50068,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/21/2020,1653,478,19,4,8127,58195,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/22/2020,2045,392,22,3,10535,68730,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/23/2020,2600,555,29,7,11147,79877,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/24/2020,3185,585,34,5,10591,90468,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/25/2020,3683,498,47,13,11070,101538,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/26/2020,4550,867,59,12,10911,112449,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/27/2020,5248,698,66,7,12217,124666,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/28/2020,6085,837,83,17,12487,137153,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/29/2020,7015,930,98,15,15442,152595,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/30/2020,8121,1106,117,19,12123,164718,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,3/31/2020,9246,1125,152,35,13600,178318,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/1/2020,10527,1281,175,23,14021,192339,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/2/2020,12219,1692,224,49,16421,208760,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/3/2020,13559,1340,277,53,14858,223618,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/4/2020,14906,1347,360,83,15061,238679,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/5/2020,16159,1253,435,75,12492,251171,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/6/2020,17521,1362,502,67,10808,261979,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/7/2020,18858,1337,580,78,7846,269825,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/8/2020,20154,1296,669,89,8727,278552,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/9/2020,21533,1379,772,103,10827,289379,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
CAN,North America,Canada,4/10/2020,22777,1244,867,95,10632,300011,,,,38067913,4.037,41.4,16.984,10.797,44017.591,2.5,82.43
